host	arm	errors	codes
shadcn	G	0	-
shadcn-m	G	0	-
shadcn-l	G	0	-
mui	G	0	-
mui-m	G	0	-
mui-l	G	0	-
chakra	G	0	-
chakra-m	G	0	-
chakra-l	G	0	-
mantine	G	0	-
mantine-m	G	0	-
mantine-l	G	0	-
shadcn	H	0	-
shadcn-l	H	0	-
mui	H	0	-
mui-l	H	0	-
chakra	H	0	-
chakra-l	H	0	-
mantine	H	0	-
mantine-l	H	0	-
